NAxe	NTrace	Loc	Xsque	Ysque	U	V	Angle	NDate	Duree	Amplitude	DateTDCvieux	DateTDCrecent	Marqueur	EPR	AOR	OLS	WLS	RLS	RWLS	JK	K	MDL	DateK	Product	DateProd
1	125	Tuto	828981.695	6252053.111	-0.459	-0.888	1.687	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	126	Tuto	829070.238	6252007.882	-0.447	-0.895	1.737	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	127	Tuto	829160.151	6251964.126	-0.434	-0.901	1.791	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	128	Tuto	829250.422	6251921.103	-0.421	-0.907	1.849	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	129	Tuto	829341.375	6251879.614	-0.397	-0.918	1.965	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	130	Tuto	829433.478	6251840.666	-0.372	-0.928	2.101	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	131	Tuto	829527.406	6251806.482	-0.316	-0.949	2.481	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	132	Tuto	829622.102	6251774.507	-0.302	-0.953	2.596	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	133	Tuto	829717.509	6251744.56	-0.318	-0.948	2.464	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	134	Tuto	829812.121	6251712.177	-0.322	-0.947	2.434	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	135	Tuto	829906.912	6251680.331	-0.313	-0.95	2.505	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	136	Tuto	830001.969	6251649.311	-0.301	-0.954	2.606	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	137	Tuto	830097.417	6251619.484	-0.292	-0.957	2.687	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	138	Tuto	830193.326	6251591.227	-0.271	-0.962	2.895	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	139	Tuto	830289.806	6251564.928	-0.262	-0.965	2.996	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	140	Tuto	830386.397	6251539.041	-0.25	-0.968	3.14	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	141	Tuto	830483.176	6251513.902	-0.226	-0.974	3.474	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	142	Tuto	830580.764	6251492.073	-0.203	-0.979	3.869	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	143	Tuto	830678.667	6251471.726	-0.155	-0.988	5.068	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	144	Tuto	830777.774	6251458.415	-0.132	-0.991	5.95	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
