NAxe	NTrace	Loc	Xsque	Ysque	U	V	Angle	NDate	Duree	Amplitude	DateTDCvieux	DateTDCrecent	Marqueur	EPR	AOR	OLS	WLS	RLS	RWLS	JK	K	MDL	DateK	Product	DateProd
1	19	Tuto	828586.643	6259789.125	-0.91	-0.414	0.532	2	69.248	267.83	1942-07-01	2011-09-30	3	3.87	3.87	3.87	3.87	3.87	3.87	NA	2	3.87	NA	Cerema	2020-12-18
1	20	Tuto	828627.166	6259697.703	-0.916	-0.401	0.514	2	69.248	255.804	1942-07-01	2011-09-30	3	3.69	3.69	3.69	3.69	3.69	3.69	NA	2	3.69	NA	Cerema	2020-12-18
1	21	Tuto	828666.191	6259605.636	-0.923	-0.384	0.492	2	69.248	251.821	1942-07-01	2011-09-30	3	3.64	3.64	3.64	3.64	3.64	3.64	NA	2	3.64	NA	Cerema	2020-12-18
1	22	Tuto	828704.162	6259513.134	-0.932	-0.363	0.464	2	69.248	252.204	1942-07-01	2011-09-30	3	3.64	3.64	3.64	3.64	3.64	3.64	NA	2	3.64	NA	Cerema	2020-12-18
1	23	Tuto	828739.808	6259419.703	-0.934	-0.357	0.456	2	69.248	250.526	1942-07-01	2011-09-30	3	3.62	3.62	3.62	3.62	3.62	3.62	NA	2	3.62	NA	Cerema	2020-12-18
1	24	Tuto	828774.926	6259326.072	-0.935	-0.355	0.454	2	69.248	249.881	1942-07-01	2011-09-30	3	3.61	3.61	3.61	3.61	3.61	3.61	NA	2	3.61	NA	Cerema	2020-12-18
1	25	Tuto	828810.949	6259232.79	-0.932	-0.361	0.462	2	69.248	246.44	1942-07-01	2011-09-30	3	3.56	3.56	3.56	3.56	3.56	3.56	NA	2	3.56	NA	Cerema	2020-12-18
1	26	Tuto	828846.588	6259139.361	-0.936	-0.352	0.45	2	69.248	243.75	1942-07-01	2011-09-30	3	3.52	3.52	3.52	3.52	3.52	3.52	NA	2	3.52	NA	Cerema	2020-12-18
1	27	Tuto	828881.5	6259045.654	-0.942	-0.336	0.429	2	69.248	248.623	1942-07-01	2011-09-30	3	3.59	3.59	3.59	3.59	3.59	3.59	NA	2	3.59	NA	Cerema	2020-12-18
1	28	Tuto	828914.539	6258951.285	-0.95	-0.313	0.399	2	69.248	248.311	1942-07-01	2011-09-30	3	3.59	3.59	3.59	3.59	3.59	3.59	NA	2	3.59	NA	Cerema	2020-12-18
1	29	Tuto	828945.146	6258856.084	-0.956	-0.293	0.374	2	69.248	256.084	1942-07-01	2011-09-30	3	3.7	3.7	3.7	3.7	3.7	3.7	NA	2	3.7	NA	Cerema	2020-12-18
1	30	Tuto	828974.504	6258760.502	-0.967	-0.253	0.322	2	69.248	267.807	1942-07-01	2011-09-30	3	3.87	3.87	3.87	3.87	3.87	3.87	NA	2	3.87	NA	Cerema	2020-12-18
1	31	Tuto	828998.528	6258663.431	-0.972	-0.236	0.301	2	69.248	271.88	1942-07-01	2011-09-30	3	3.93	3.93	3.93	3.93	3.93	3.93	NA	2	3.93	NA	Cerema	2020-12-18
1	32	Tuto	829022.199	6258566.277	-0.975	-0.223	0.284	2	69.248	276.559	1942-07-01	2011-09-30	3	3.99	3.99	3.99	3.99	3.99	3.99	NA	2	3.99	NA	Cerema	2020-12-18
1	33	Tuto	829044.133	6258468.712	-0.975	-0.224	0.285	2	69.248	278.313	1942-07-01	2011-09-30	3	4.02	4.02	4.02	4.02	4.02	4.02	NA	2	4.02	NA	Cerema	2020-12-18
1	34	Tuto	829066.292	6258371.2	-0.973	-0.232	0.295	4	74.006	331.12	1942-07-01	2016-07-02	3	4.47	6.11	4.33	4.48	4.27	4.48	5.44	3	8.81	1944	Cerema	2020-12-18
1	35	Tuto	829087.752	6258273.532	-0.976	-0.219	0.279	4	74.006	343.313	1942-07-01	2016-07-02	3	4.64	58990.31	4.53	4.68	4.46	4.68	5.6	3	4.53	1941	Cerema	2020-12-18
1	36	Tuto	829109.047	6258175.825	-0.977	-0.214	0.272	4	74.006	363.169	1942-07-01	2016-07-02	3	4.91	38511.46	4.79	4.97	4.71	4.97	6.08	3	9.98	1946	Cerema	2020-12-18
1	37	Tuto	829130.342	6258078.119	-0.982	-0.188	0.239	4	74.006	393.331	1942-07-01	2016-07-02	3	5.31	70188.5	5.14	5.38	5.04	5.38	6.88	3	12.14	1952	Cerema	2020-12-18
