NAxe	NTrace	Xsque	Ysque	U	V	Angle	NDate	Duree	Amplitude	DateTDCvieux	DateTDCrecent	Marqueur	EPR	AOR	OLS	WLS	RLS	RWLS	JK	K	MDL	DateK	Product	DateProd
1	56	828405.59	6256523.234	-0.44	0.898	-1.765	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	57	828315.633	6256479.564	-0.407	0.913	-1.914	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	58	828222.881	6256442.219	-0.344	0.939	-2.276	3	4.757	11.803	2011-09-30	2016-07-02	3	-2.48	-2.61	-2.42	-2.42	-2.51	-2.42	-2.61	2	-2.42	NA	Cerema	2020-06-23
1	59	828129.031	6256407.691	-0.347	0.938	-2.256	3	4.757	8.355	2011-09-30	2016-07-02	3	-1.76	-1.96	-1.66	-1.82	-1.8	-1.82	-1.96	2	-1.66	NA	Cerema	2020-06-23
1	60	828035.2	6256373.112	-0.346	0.938	-2.262	2	1.752	0.17	2011-09-30	2013-07-01	3	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	NA	1	-0.1	NA	Cerema	2020-06-23
1	61	827941.387	6256338.484	-0.36	0.933	-2.173	2	1.752	5.713	2011-09-30	2013-07-01	3	-3.26	-3.26	-3.26	-3.26	-3.26	-3.26	NA	2	-3.26	NA	Cerema	2020-06-23
1	62	827850.26	6256297.387	-0.431	0.903	-1.805	2	1.752	7.874	2011-09-30	2013-07-01	3	-4.49	-4.49	-4.49	-4.49	-4.49	-4.49	NA	2	-4.49	NA	Cerema	2020-06-23
1	63	827760.003	6256254.333	-0.431	0.902	-1.803	2	1.752	9.986	2011-09-30	2013-07-01	3	-5.7	-5.7	-5.7	-5.7	-5.7	-5.7	NA	2	-5.7	NA	Cerema	2020-06-23
1	64	827669.746	6256211.279	-0.43	0.903	-1.809	2	1.752	10.959	2011-09-30	2013-07-01	3	-6.25	-6.25	-6.25	-6.25	-6.25	-6.25	NA	2	-6.25	NA	Cerema	2020-06-23
1	65	827579.489	6256168.225	-0.431	0.903	-1.805	2	1.752	214.593	2011-09-30	2013-07-01	3	-122.47	-122.47	-122.47	-122.47	-122.47	-122.47	NA	2	-122.47	NA	Cerema	2020-06-23
1	66	827488.196	6256127.522	-0.355	0.935	-2.204	2	1.752	234.915	2011-09-30	2013-07-01	3	-134.07	-134.07	-134.07	-134.07	-134.07	-134.07	NA	2	-134.07	NA	Cerema	2020-06-23
1	67	827394.508	6256092.565	-0.378	0.926	-2.067	2	1.752	59.943	2011-09-30	2013-07-01	3	-34.21	-34.21	-34.21	-34.21	-34.21	-34.21	NA	2	-34.21	NA	Cerema	2020-06-23
1	68	827303.901	6256050.31	-0.431	0.902	-1.803	2	1.752	36.804	2011-09-30	2013-07-01	3	21	21	21	21	21	21	NA	2	21	NA	Cerema	2020-06-23
1	69	827213.862	6256006.804	-0.442	0.897	-1.757	2	1.752	58.299	2011-09-30	2013-07-01	3	33.27	33.27	33.27	33.27	33.27	33.27	NA	2	33.27	NA	Cerema	2020-06-23
1	70	827121.537	6255968.705	-0.337	0.941	-2.323	2	1.752	62.043	2011-09-30	2013-07-01	3	35.41	35.41	35.41	35.41	35.41	35.41	NA	2	35.41	NA	Cerema	2020-06-23
1	71	827029.521	6255929.677	-0.43	0.903	-1.809	2	1.752	142.787	2011-09-30	2013-07-01	3	81.49	81.49	81.49	81.49	81.49	81.49	NA	2	81.49	NA	Cerema	2020-06-23
1	72	826939.859	6255885.555	-0.539	0.842	-1.416	2	1.752	101.657	2011-09-30	2013-07-01	3	58.02	58.02	58.02	58.02	58.02	58.02	NA	2	58.02	NA	Cerema	2020-06-23
1	73	826859.131	6255826.6	-0.62	0.785	-1.199	2	1.752	76.663	2011-09-30	2013-07-01	3	43.75	43.75	43.75	43.75	43.75	43.75	NA	2	43.75	NA	Cerema	2020-06-23
1	74	826781.902	6255763.076	-0.636	0.771	-1.159	2	1.752	34.981	2011-09-30	2013-07-01	3	19.96	19.96	19.96	19.96	19.96	19.96	NA	2	19.96	NA	Cerema	2020-06-23
1	75	826704.764	6255699.438	-0.636	0.771	-1.159	2	1.752	20.91	2011-09-30	2013-07-01	3	11.93	11.93	11.93	11.93	11.93	11.93	NA	2	11.93	NA	Cerema	2020-06-23
