NAxe	NTrace	Xsque	Ysque	U	V	Angle	NDate	Duree	Amplitude	DateTDCvieux	DateTDCrecent	Marqueur	EPR	AOR	OLS	WLS	RLS	RWLS	JK	K	MDL	DateK	Product	DateProd
1	43	829158.243	6257480.489	-0.988	0.154	-0.196	4	74.006	593.014	1942-07-01	2016-07-02	3	8.01	3674.07	7.71	8.28	7.45	8.28	11.84	3	24.28	1962	Cerema	2020-06-23
1	44	829134.11	6257383.568	-0.953	0.304	-0.388	4	74.006	602.68	1942-07-01	2016-07-02	3	8.11	-8792.18	7.8	8.43	7.51	8.43	12.31	3	25.93	1963	Cerema	2020-06-23
1	45	829103.664	6257288.316	-0.953	0.305	-0.389	4	74.006	668.584	1942-07-01	2016-07-02	3	8.98	-12717.08	8.77	9.23	8.54	9.23	12.14	3	22.36	1956	Cerema	2020-06-23
1	46	829070.547	6257194.036	-0.925	0.379	-0.485	3	74.006	666.071	1942-07-01	2016-07-02	3	9	12.7	8.64	8.88	8.43	8.88	12.7	3	20.93	1953	Cerema	2020-06-23
1	47	829032.652	6257101.494	-0.925	0.379	-0.485	3	74.006	714.872	1942-07-01	2016-07-02	3	9.66	12.16	9.42	9.84	9.27	9.84	12.16	3	9.42	1937	Cerema	2020-06-23
1	48	828994.756	6257008.953	-0.925	0.379	-0.485	3	74.006	734.458	1942-07-01	2016-07-02	3	9.92	10.09	9.91	9.92	9.9	9.92	10.09	2	9.91	NA	Cerema	2020-06-23
1	49	828956.861	6256916.411	-0.925	0.379	-0.485	3	74.006	794.554	1942-07-01	2016-07-02	3	10.74	8.47	10.95	10.81	11.09	10.81	8.48	2	10.95	2030	Cerema	2020-06-23
1	50	828915.044	6256825.725	-0.88	0.475	-0.614	3	74.006	500.02	1942-07-01	2016-07-02	3	6.76	6.85	6.75	6.75	6.74	6.75	6.85	2	6.75	NA	Cerema	2020-06-23
1	51	828847.054	6256756.89	-0.532	0.846	-1.436	3	74.006	466.548	1942-07-01	2016-07-02	3	6.3	5.52	6.38	6.33	6.42	6.33	5.52	2	6.38	2066	Cerema	2020-06-23
1	52	828762.408	6256703.645	-0.532	0.846	-1.436	3	74.006	447.765	1942-07-01	2016-07-02	3	6.05	6.73	5.99	6.03	5.95	6.03	6.73	3	5.99	1883	Cerema	2020-06-23
1	53	828675.076	6256655.056	-0.439	0.899	-1.77	2	69.248	407.315	1942-07-01	2011-09-30	3	5.88	5.88	5.88	5.88	5.88	5.88	NA	2	5.88	NA	Cerema	2020-06-23
1	54	828585.248	6256611.115	-0.439	0.898	-1.769	2	69.248	358.415	1942-07-01	2011-09-30	3	5.18	5.18	5.18	5.18	5.18	5.18	NA	2	5.18	NA	Cerema	2020-06-23
1	55	828495.419	6256567.175	-0.44	0.898	-1.765	2	69.248	357.551	1942-07-01	2011-09-30	3	5.16	5.16	5.16	5.16	5.16	5.16	NA	2	5.16	NA	Cerema	2020-06-23
1	56	828405.59	6256523.234	-0.44	0.898	-1.765	2	69.248	355.996	1942-07-01	2011-09-30	3	5.14	5.14	5.14	5.14	5.14	5.14	NA	2	5.14	NA	Cerema	2020-06-23
1	57	828315.633	6256479.564	-0.407	0.913	-1.914	2	69.248	362.888	1942-07-01	2011-09-30	3	5.24	5.24	5.24	5.24	5.24	5.24	NA	2	5.24	NA	Cerema	2020-06-23
1	58	828222.881	6256442.219	-0.344	0.939	-2.276	4	74.006	435.464	1942-07-01	2016-07-02	3	5.72	1.71	5.99	5.56	6.08	5.56	3.9	3	-2.42	2003	Cerema	2020-06-23
1	59	828129.031	6256407.691	-0.347	0.938	-2.256	4	74.006	383.399	1942-07-01	2016-07-02	3	5.07	1.67	5.28	5.11	5.35	5.11	3.55	3	-1.66	2005	Cerema	2020-06-23
