NAxe	NTrace	Loc	Xsque	Ysque	U	V	Distance	date1	date2	marqueur	incert	leve	product	NomTDC[itdc]	Nbcoup
1	48	Tuto	828994.608	6257008.59	-0.925	0.379	-382.747	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	48	Tuto	828994.608	6257008.59	-0.925	0.379	302.159	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	3
1	49	Tuto	828956.712	6256916.049	-0.917	0.399	351.377	20160702143213	20160702143346	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	49	Tuto	828956.712	6256916.049	-0.917	0.399	-384.158	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	3
1	49	Tuto	828956.712	6256916.049	-0.917	0.399	335.388	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	50	Tuto	828914.857	6256825.379	-0.84	0.543	366.396	20160702143213	20160702143346	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	50	Tuto	828914.857	6256825.379	-0.84	0.543	-113.443	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	2
1	50	Tuto	828914.857	6256825.379	-0.84	0.543	344.914	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	51	Tuto	828846.679	6256756.653	-0.615	0.789	364.286	20160702143213	20160702143346	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	51	Tuto	828846.679	6256756.653	-0.615	0.789	-90.762	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	51	Tuto	828846.679	6256756.653	-0.615	0.789	344.1	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	52	Tuto	828762.032	6256703.408	-0.514	0.858	353.175	20160702143213	20160702143346	3	15	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	52	Tuto	828762.032	6256703.408	-0.514	0.858	-94.577	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	52	Tuto	828762.032	6256703.408	-0.514	0.858	316.998	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
